Date,equipe1,score,equipe2
12/05/2022,Real Sociedad San-Sebastian (6),3 - 0,Cadix CF (17)
15/05/2022,Villarreal CF (7),1 - 2,Real Sociedad San-Sebastian (6)
22/05/2022,Real Sociedad San-Sebastian (6),1 - 2,Atlético Madrid (3)
17/02/2022,RB Leipzig (ALL),2 - 2,Real Sociedad San-Sebastian
24/02/2022,Real Sociedad San-Sebastian,1 - 3,RB Leipzig (ALL)
16/09/2021,PSV Eindhoven (P-B) (3),2 - 2,Real Sociedad San-Sebastian (2)
30/09/2021,Real Sociedad San-Sebastian (2),1 - 1,AS Monaco (FRA) (1)
21/10/2021,SK Sturm Graz (AUT) (4),0 - 1,Real Sociedad San-Sebastian (2)
04/11/2021,Real Sociedad San-Sebastian (2),1 - 1,SK Sturm Graz (AUT) (4)
25/11/2021,AS Monaco (FRA) (1),2 - 1,Real Sociedad San-Sebastian (2)
09/12/2021,Real Sociedad San-Sebastian (2),3 - 0,PSV Eindhoven (P-B) (3)
01/12/2021,CF Panadería Pulido San Mateo (ESP),0 - 4,Real Sociedad San-Sebastian
15/12/2021,Zamora CF (ESP),0 - 3,Real Sociedad San-Sebastian
05/01/2022,CD Leganés (ESP),2 - 3,Real Sociedad San-Sebastian
19/01/2022,Real Sociedad San-Sebastian,2 - 0,Atlético Madrid (ESP)
03/02/2022,Real Sociedad San-Sebastian,0 - 4,Real Betis Balompié Séville (ESP)
16/07/2022,Real Sociedad San-Sebastian,0 - 1,Toulouse FC (FRA)
23/07/2022,Borussia Mönchengladbach (ALL),1 - 1,Real Sociedad San-Sebastian
27/07/2022,Real Sociedad San-Sebastian,1 - 0,Osasuna Pampelune (ESP)
30/07/2022,Bournemouth (ANG),1 - 2,Real Sociedad San-Sebastian
05/08/2022,Real Sociedad San-Sebastian,1 - 2,Eibar SD (ESP)
05/08/2022,Athletic Bilbao (ESP),1 - 0,Real Sociedad San-Sebastian
14/08/2022,Cadix CF (16),0 - 1,Real Sociedad San-Sebastian (7)
21/08/2022,Real Sociedad San-Sebastian (11),1 - 4,FC Barcelone (5)
27/08/2022,Elche CF (17),0 - 1,Real Sociedad San-Sebastian (8)
03/09/2022,Real Sociedad San-Sebastian (9),1 - 1,Atlético Madrid (7)
11/09/2022,Getafe CF (18),2 - 1,Real Sociedad San-Sebastian (11)
18/09/2022,Real Sociedad San-Sebastian (8),2 - 1,Espanyol Barcelone (17)
02/10/2022,Girona FC (13),3 - 5,Real Sociedad San-Sebastian (7)
09/10/2022,Real Sociedad San-Sebastian (6),1 - 0,Villarreal CF (9)
16/10/2022,Celta Vigo (11),1 - 2,Real Sociedad San-Sebastian (5)
19/10/2022,Real Sociedad San-Sebastian (3),1 - 0,Real Majorque (15)
22/10/2022,Real Valladolid (11),1 - 0,Real Sociedad San-Sebastian (4)
30/10/2022,Real Sociedad San-Sebastian (5),0 - 2,Real Betis Balompié Séville (4)
06/11/2022,Real Sociedad San-Sebastian (6),1 - 1,Valence CF (11)
09/11/2022,FC Séville (18),1 - 2,Real Sociedad San-Sebastian (3)
31/12/2022,Real Sociedad San-Sebastian (3),2 - 0,Osasuna Pampelune (9)
08/01/2023,UD Almería (14),0 - 2,Real Sociedad San-Sebastian (3)
14/01/2023,Real Sociedad San-Sebastian (3),3 - 1,Athletic Bilbao (8)
21/01/2023,Rayo Vallecano (9),0 - 2,Real Sociedad San-Sebastian (3)
29/01/2023,Real Madrid (2),0 - 0,Real Sociedad San-Sebastian (3)
05/02/2023,Real Sociedad San-Sebastian (3),0 - 1,Real Valladolid (13)
13/02/2023,Espanyol Barcelone (17),2 - 3,Real Sociedad San-Sebastian (3)
18/02/2023,Real Sociedad San-Sebastian (3),1 - 1,Celta Vigo (14)
25/02/2023,Valence CF (18),1 - 0,Real Sociedad San-Sebastian (3)
03/03/2023,Real Sociedad San-Sebastian (4),0 - 0,Cadix CF (15)
12/03/2023,Real Majorque (10),1 - 1,Real Sociedad San-Sebastian (4)
19/03/2023,Real Sociedad San-Sebastian,2 - 0,Elche CF
